hit_id	length	cysteine_content	e_value	query_accession	query_name
All_sequences_Mulenga2020_id_tr|A0A0H4NF00|A0A0H4NF00_RHDV	2338	0.02	6.2e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWP6|B2WWP6_RHDV	2336	0.02	2.3e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JSW9|A0A0B5JSW9_RHDV	2344	0.02	4.4e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|F5BXG7|F5BXG7_RHDV	2344	0.02	4.6e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NGN2|A0A0H4NGN2_RHDV	2338	0.02	7.5e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWN2|B2WWN2_RHDV	2344	0.02	4.4e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NVQ2|A0A0H4NVQ2_RHDV	2338	0.02	7.4e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A077DCC6|A0A077DCC6_RHDV	2338	0.02	1.1e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NDZ6|A0A0H4NDZ6_RHDV	2338	0.02	1.1e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NF09|A0A0H4NF09_RHDV	2338	0.02	9.7e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NF19|A0A0H4NF19_RHDV	2338	0.02	9.4e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NVP3|A0A0H4NVP3_RHDV	2338	0.02	1.1e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NIF6|A0A0H4NIF6_RHDV	2338	0.02	5.8e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NGP1|A0A0H4NGP1_RHDV	2338	0.02	1.4e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NDX5|A0A0H4NDX5_RHDV	2338	0.02	5.9e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWP2|B2WWP2_RHDV	2344	0.02	1.2e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWP4|B2WWP4_RHDV	2344	0.02	4.3e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NGM2|A0A0H4NGM2_RHDV	2338	0.02	2.4e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NVR3|A0A0H4NVR3_RHDV	2338	0.02	1.6e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q6QWJ0|Q6QWJ0_RHDV	2344	0.02	2e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A3F968|A3F968_RHDV	2344	0.02	1.5e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A077DB82|A0A077DB82_RHDV	2338	0.02	2.6e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A077D7U0|A0A077D7U0_RHDV	2338	0.02	2.3e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NF29|A0A0H4NF29_RHDV	2338	0.02	1.8e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWM6|B2WWM6_RHDV	2344	0.02	1e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A077D9D4|A0A077D9D4_RHDV	2339	0.02	3.3e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JWY3|A0A0B5JWY3_RHDV	2344	0.02	1.4e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NE05|A0A0H4NE05_RHDV	2338	0.02	3.1e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NIC7|A0A0H4NIC7_RHDV	2338	0.02	1.4e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A077DB86|A0A077DB86_RHDV	2339	0.02	6e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JQW3|A0A0B5JQW3_RHDV	2333	0.02	7.5e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q2N1I5|Q2N1I5_RHDV	2344	0.02	1.1e-112	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NVM1|A0A0H4NVM1_RHDV	2338	0.02	2.2e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWM2|B2WWM2_RHDV	2344	0.02	1.4e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWM0|B2WWM0_RHDV	2344	0.02	1.2e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NID5|A0A0H4NID5_RHDV	2338	0.02	3.5e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JWZ2|A0A0B5JWZ2_RHDV	2329	0.02	4.9e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A077D7E8|A0A077D7E8_RHDV	2338	0.02	2.8e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWN6|B2WWN6_RHDV	2344	0.02	2.8e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JKX2|A0A0B5JKX2_RHDV	2344	0.02	5.1e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q2V9T1|Q2V9T1_RHDV	2344	0.02	1.3e-112	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JG15|A0A0B5JG15_RHDV	2344	0.02	6.2e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5CYZ3|A0A0B5CYZ3_RHDV	2344	0.02	7.3e-114	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWM4|B2WWM4_RHDV	2344	0.02	4.6e-112	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JG03|A0A0B5JG03_RHDV	2344	0.02	8e-115	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5D6K7|A0A0B5D6K7_RHDV	2344	0.02	1.1e-113	-	VOG00037
All_sequences_Mulenga2020_id_tr|B2WWN0|B2WWN0_RHDV	2344	0.02	1.7e-112	-	VOG00037
All_sequences_Mulenga2020_id_sp|P27411|POLG_RHDV3	2344	0.02	1.3e-111	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B5JSV6|A0A0B5JSV6_RHDV	2344	0.02	1.4e-109	-	VOG00037
All_sequences_Mulenga2020_id_tr|V9QGD1|V9QGD1_RHDV	837	0.01	4.7e-102	-	VOG00037
Trove_Mulenga_NCBI_Ambl-Am_AA_id_NCBI_AA_5886	1687	0.02	2.3e-47	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q86115|Q86115_RHDV	579	0.00	3.4e-71	-	VOG00037
All_sequences_Mulenga2020_id_tr|G2ZH20|G2ZH20_RHDV	579	0.00	7.4e-71	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q8AZI5|Q8AZI5_RHDV	579	0.00	7.8e-71	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q83422|Q83422_ENMGO	2293	0.01	6.2e-37	-	VOG00037
All_sequences_Mulenga2020_id_sp|P12296|POLG_ENMGO	2293	0.01	6.6e-37	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q8AZH5|Q8AZH5_RHDV	579	0.00	1.2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q6KF71|Q6KF71_RHDV	579	0.00	1.2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GBL5|A0A076GBL5_RHDV	579	0.00	1.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GGV1|A0A076GGV1_RHDV	579	0.00	1.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q80BA9|Q80BA9_RHDV	579	0.00	1.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A097GXU6|A0A097GXU6_RHDV	579	0.00	1.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A097GXU7|A0A097GXU7_RHDV	579	0.00	1.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A097GXV1|A0A097GXV1_RHDV	579	0.00	1.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A097GXV4|A0A097GXV4_RHDV	579	0.00	1.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A097GXX2|A0A097GXX2_RHDV	579	0.00	1.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q91HR6|Q91HR6_RHDV	579	0.00	1.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|C3RXS0|C3RXS0_RHDV	579	0.00	1.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K449|V5K449_RHDV	579	0.00	1.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|G0ZCN5|G0ZCN5_RHDV	579	0.00	1.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0D5W7U0|A0A0D5W7U0_RHDV	579	0.00	1.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q86113|Q86113_RHDV	579	0.00	1.8e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0D5W7B0|A0A0D5W7B0_RHDV	579	0.00	1.8e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A097GXU9|A0A097GXU9_RHDV	579	0.00	1.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K4K3|V5K4K3_RHDV	579	0.00	2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GBL1|A0A076GBL1_RHDV	579	0.00	2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q9WJS3|Q9WJS3_RHDV	579	0.00	2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K4B6|V5K4B6_RHDV	579	0.00	2.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K515|V5K515_RHDV	579	0.00	2.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|H6VPC1|H6VPC1_RHDV	579	0.00	2.2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K524|V5K524_RHDV	579	0.00	2.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K511|V5K511_RHDV	579	0.00	2.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K457|V5K457_RHDV	579	0.00	2.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K514|V5K514_RHDV	579	0.00	2.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|E5DNJ0|E5DNJ0_RHDV	579	0.00	2.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q29VM9|Q29VM9_RHDV	581	0.00	2.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GAN2|A0A076GAN2_RHDV	579	0.00	2.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|U3UBS0|U3UBS0_RHDV	579	0.00	2.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A9LN66|A9LN66_RHDV	579	0.00	2.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GC43|A0A076GC43_RHDV	579	0.00	2.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|U3N8W7|U3N8W7_RHDV	579	0.00	3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q9IZJ8|Q9IZJ8_RHDV	579	0.00	3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076G302|A0A076G302_RHDV	579	0.00	3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q29VN0|Q29VN0_RHDV	579	0.00	3.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076G2U0|A0A076G2U0_RHDV	579	0.00	3.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GAM7|A0A076GAM7_RHDV	579	0.00	3.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|O91264|O91264_RHDV	579	0.00	3.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|D4P3P8|D4P3P8_RHDV	579	0.00	3.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q29VW7|Q29VW7_RHDV	583	0.00	3.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q9YND1|Q9YND1_RHDV	579	0.00	3.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076V7M9|A0A076V7M9_RHDV	579	0.00	3.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A097GXW0|A0A097GXW0_RHDV	579	0.00	3.8e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H4NGQ2|A0A0H4NGQ2_RHDV	579	0.00	3.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K512|V5K512_RHDV	579	0.00	4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076G258|A0A076G258_RHDV	579	0.00	3.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q8UZ01|Q8UZ01_RHDV	579	0.00	4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|U3UBR6|U3UBR6_RHDV	579	0.00	4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K521|V5K521_RHDV	579	0.00	4.2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q3HNQ1|Q3HNQ1_RHDV	579	0.00	4.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0D5W791|A0A0D5W791_RHDV	579	0.00	4.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K513|V5K513_RHDV	579	0.00	4.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GC36|A0A076GC36_RHDV	579	0.00	4.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|C0M0H9|C0M0H9_RHDV	579	0.00	4.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|G9FKG9|G9FKG9_RHDV	579	0.00	4.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q8UZ02|Q8UZ02_RHDV	579	0.00	4.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|U3UBR8|U3UBR8_RHDV	579	0.00	4.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GAP0|A0A076GAP0_RHDV	579	0.00	5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K4Z7|V5K4Z7_RHDV	579	0.00	5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q9YND4|Q9YND4_RHDV	579	0.00	5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076GGV8|A0A076GGV8_RHDV	579	0.00	5.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|T2DKN7|T2DKN7_RHDV	579	0.00	5.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q4JMC7|Q4JMC7_RHDV	579	0.00	5.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|U3UBR7|U3UBR7_RHDV	579	0.00	5.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PM53|A0A0B4PM53_RHDV	579	0.00	5.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K508|V5K508_RHDV	579	0.00	5.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q19B04|Q19B04_RHDV	579	0.00	5.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q4JMC5|Q4JMC5_RHDV	579	0.00	5.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K4A9|V5K4A9_RHDV	579	0.00	5.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q4VZY6|Q4VZY6_RHDV	579	0.00	5.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0D5W7P4|A0A0D5W7P4_RHDV	579	0.00	5.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0C4M4N4|A0A0C4M4N4_RHDV	579	0.00	5.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|C8ZLL0|C8ZLL0_RHDV	579	0.00	6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|H6VPC0|H6VPC0_RHDV	579	0.00	6.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLX0|A0A0B4PLX0_RHDV	579	0.00	6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K4A2|V5K4A2_RHDV	579	0.00	6.2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLQ5|A0A0B4PLQ5_RHDV	579	0.00	6.1e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A076VA05|A0A076VA05_RHDV	579	0.00	6.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|H6VPB9|H6VPB9_RHDV	579	0.00	6.2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K448|V5K448_RHDV	579	0.00	6.4e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLJ9|A0A0B4PLJ9_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLK0|A0A0B4PLK0_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLP9|A0A0B4PLP9_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLQ9|A0A0B4PLQ9_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLR0|A0A0B4PLR0_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLX5|A0A0B4PLX5_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLX8|A0A0B4PLX8_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PM63|A0A0B4PM63_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PM66|A0A0B4PM66_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PML2|A0A0B4PML2_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PML4|A0A0B4PML4_RHDV	579	0.00	6.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K4A7|V5K4A7_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLI9|A0A0B4PLI9_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLP6|A0A0B4PLP6_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLW2|A0A0B4PLW2_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLW3|A0A0B4PLW3_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLX2|A0A0B4PLX2_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PM42|A0A0B4PM42_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PM56|A0A0B4PM56_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PMI5|A0A0B4PMI5_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PMK4|A0A0B4PMK4_RHDV	579	0.00	6.6e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|U3UA81|U3UA81_RHDV	579	0.00	6.8e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLI7|A0A0B4PLI7_RHDV	579	0.00	6.9e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0B4PLQ7|A0A0B4PLQ7_RHDV	579	0.00	7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|E5DNJ1|E5DNJ1_RHDV	579	0.00	7.2e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|W8SGT1|W8SGT1_RHDV	579	0.00	7.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|X2C1G2|X2C1G2_RHDV	579	0.00	7.3e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q9YND3|Q9YND3_RHDV	579	0.00	7.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|U3N7B1|U3N7B1_RHDV	579	0.00	7.5e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|Q8AZI3|Q8AZI3_RHDV	579	0.00	7.7e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|A0A0H3UL29|A0A0H3UL29_RHDV	579	0.00	7.8e-70	-	VOG00037
All_sequences_Mulenga2020_id_tr|V5K505|V5K505_RHDV	579	0.00	8e-70	-	VOG00037
